	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Atp11c	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0074959709036172915	aracne_Microglia_B6J
Gnao1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.00228650439032658	aracne_Microglia_B6J
Meis2	6	0.041666666666666664	0	0.0	6	0.041666666666666664	0.0	0.017634326772467387	aracne_Microglia_B6J
Nrg3	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.002206689487898431	aracne_Microglia_B6J
Grid2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.009021565260010697	aracne_Microglia_B6J
Slc4a4	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.002044362484331043	aracne_Microglia_B6J
Glis3	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.02197687227030972	aracne_Microglia_B6J
Esrrg	1	0.006944444444444444	0	0.0	1	0.006944444444444444	0.0	0.00032719482030516575	aracne_Microglia_B6J
Grm3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.014956857724703884	aracne_Microglia_B6J
Nav3	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0007865974348086023	aracne_Microglia_B6J
Adgrb3	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0015954013488055961	aracne_Microglia_B6J
Trerf1	1	0.006944444444444444	0	0.0	1	0.006944444444444444	0.0	0.005322958102653796	aracne_Microglia_B6J
Malat1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	7.753810030994281e-05	aracne_Microglia_B6J
Arhgap15	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0005763576471282626	aracne_Microglia_B6J
